"JobID","SchoolID","SchoolCampus","DepartmentID","JobTitle"
"JOB4","NJTV28G5","Springfield","DEPT5","Coordinator"
"JOB5","NJTV28G5","Springfield","DEPT5","Engineer"
"JOB7","NJTV28G5","Springfield","DEPT5","Scientist"
"JOB8","NJTV28G5","Springfield","DEPT5","Analyst"
"JOB2","NJTV28G5","Springfield","DEPT5","Lecturer"
"JOB3","NJTV28G5","Springfield","DEPT5","Administrator"
"JOB5_1","Q3JDEH62","Dallas","DEPT13","Engineer"
"JOB6","NJTV28G5","Springfield","DEPT5","Researcher"
"JOB1","NJTV28G5","Springfield","DEPT5","Professor"
"JOB1_1","AKXQD55U","Tampa","DEPT11","Professor"
"JOB2_1","AKXQD55U","Tampa","DEPT11","Lecturer"
"JOB1_2","Q3JDEH62","San Antonio","DEPT13","Professor"
"JOB8_1","W8AR87B5","Amherst","DEPT4","Analyst"
"JOB3_1","Q3JDEH62","Austin","DEPT13","Administrator"
"JOB1_3","Q3JDEH62","Austin","DEPT13","Professor"
"JOB4_1","Q3JDEH62","Austin","DEPT13","Coordinator"
"JOB2_2","Q3JDEH62","Austin","DEPT13","Lecturer"
"JOB7_1","Q3JDEH62","Dallas","DEPT13","Scientist"
"JOB8_2","Q3JDEH62","Dallas","DEPT13","Analyst"
"JOB3_2","Q3JDEH62","Dallas","DEPT13","Administrator"
"JOB2_3","Q3JDEH62","Dallas","DEPT13","Lecturer"
"JOB2_4","AKXQD55U","Miami","DEPT11","Lecturer"
"JOB4_2","AKXQD55U","Miami","DEPT11","Coordinator"
"JOB6_1","AKXQD55U","Miami","DEPT11","Researcher"
"JOB7_2","AKXQD55U","Miami","DEPT11","Scientist"
"JOB5_2","AKXQD55U","Miami","DEPT11","Engineer"
"JOB8_3","I7ETQ0DV","Los Angeles","DEPT9","Analyst"
"JOB4_3","I7ETQ0DV","Los Angeles","DEPT9","Coordinator"
"JOB1_4","I7ETQ0DV","Los Angeles","DEPT9","Professor"
"JOB2_5","I7ETQ0DV","Los Angeles","DEPT9","Lecturer"
"JOB7_3","I7ETQ0DV","Los Angeles","DEPT9","Scientist"
"JOB3_3","I7ETQ0DV","Los Angeles","DEPT9","Administrator"
"JOB1_5","W8AR87B5","Lowell","DEPT4","Professor"
"JOB3_4","W8AR87B5","Lowell","DEPT4","Administrator"
