"PersonID","Earnings","EarningsYear","JobID","StillWorking"
"1","134872","2011","JOB4","yes"
"1","360424","2020","JOB5","no"
"1","120802","2010","JOB7","no"
"1","378389","2021","JOB7","no"
"1","373973","2019","JOB8","no"
"1","421817","2019","JOB2","no"
"1","367042","2014","JOB5","no"
"1","68860","2019","JOB3","no"
"2","432053","2012","JOB5_1","no"
"3","391547","2010","JOB7","yes"
"3","141672","2016","JOB6","no"
"3","309709","2011","JOB3","no"
"3","194461","2011","JOB4","no"
"3","322411","2013","JOB6","no"
"3","71040","2020","JOB1","no"
"3","430705","2020","JOB2","no"
"3","289025","2010","JOB3","no"
"4","292625","2011","JOB1_1","no"
"4","104527","2020","JOB2_1","no"
"5","342921","2022","JOB1_2","no"
"6","438223","2020","JOB8_1","no"
"7","281927","2019","JOB3_1","no"
"7","70985","2011","JOB1_3","no"
"7","195472","2015","JOB4_1","no"
"7","73568","2021","JOB2_2","no"
"8","380117","2019","JOB7_1","no"
"8","365204","2018","JOB8_2","no"
"8","350253","2010","JOB3_2","no"
"8","186866","2014","JOB5_1","no"
"8","381916","2014","JOB3_2","no"
"8","170500","2015","JOB2_3","no"
"8","64255","2010","JOB8_2","no"
"9","444208","2012","JOB2_4","no"
"9","398610","2021","JOB4_2","no"
"9","366297","2015","JOB6_1","no"
"9","78897","2010","JOB7_2","no"
"9","194193","2013","JOB5_2","no"
"9","340163","2021","JOB7_2","no"
"10","389960","2011","JOB1","no"
"11","141672","2013","JOB8_3","no"
"11","192750","2012","JOB4_3","no"
"11","342936","2017","JOB1_4","no"
"11","389341","2015","JOB2_5","no"
"11","114513","2018","JOB7_3","no"
"11","382016","2019","JOB3_3","no"
"11","126458","2014","JOB8_3","no"
"11","86498","2021","JOB7_3","no"
"12","351944","2010","JOB2_3","yes"
"12","337787","2016","JOB8_2","no"
"12","297573","2014","JOB3_2","no"
"13","382941","2019","JOB1_5","yes"
"13","119662","2016","JOB3_4","no"
"13","379465","2016","JOB8_4","no"
"14","174121","2013","JOB6_2","no"
"14","345186","2020","JOB3_4","no"
"14","194052","2020","JOB7_4","no"
"14","146384","2012","JOB6_2","no"
"15","438102","2010","JOB1_1","yes"
"15","286952","2017","JOB2_1","no"
"15","52304","2014","JOB1_1","no"
"15","121812","2012","JOB6_3","no"
"15","122304","2020","JOB6_3","no"
"16","434076","2015","JOB5_3","no"
"16","134872","2017","JOB3_1","no"
"17","231990","2020","JOB4_4","no"
"17","171331","2013","JOB2_1","no"
"17","430705","2022","JOB1_1","no"
"17","266358","2014","JOB4_4","no"
"17","168330","2012","JOB3_5","no"
"17","242360","2016","JOB8_5","no"
"18","274428","2018","JOB5_4","yes"
"18","164647","2015","JOB8_6","no"
"18","336840","2013","JOB4_5","no"
"18","80439","2013","JOB7_5","no"
"19","50556","2012","JOB1_6","no"
"19","251555","2017","JOB5_5","no"
"19","316892","2018","JOB1_6","no"
"20","411168","2017","JOB1_7","yes"
"20","207524","2019","JOB3_6","no"
"20","116819","2010","JOB6_4","no"
"20","64006","2013","JOB1_7","no"
"20","365204","2014","JOB7_6","no"
"21","190598","2012","JOB3_7","no"
"21","86556","2022","JOB7_7","no"
"21","381171","2021","JOB4_6","no"
"21","74137","2016","JOB3_7","no"
"22","174121","2020","JOB7_8","no"
"22","135437","2015","JOB3_8","no"
"22","40315","2015","JOB8_7","no"
"22","174121","2011","JOB1_8","no"
"22","325935","2021","JOB5_6","no"
"22","228763","2018","JOB5_6","no"
"22","51741","2014","JOB8_7","no"
"22","50556","2012","JOB8_7","no"
"22","388969","2016","JOB6_5","no"
"23","199065","2014","JOB6_6","no"
"23","252812","2010","JOB1_9","no"
"23","244367","2013","JOB5_7","no"
"23","312074","2014","JOB3_9","no"
"23","256309","2017","JOB7_9","no"
"23","412350","2015","JOB1_9","no"
"23","272660","2016","JOB3_9","no"
"23","70250","2012","JOB6_6","no"
"23","123368","2019","JOB5_7","no"
"24","288197","2014","JOB8_8","no"
"24","339497","2019","JOB8_8","no"
"25","423369","2013","JOB2_6","no"
"25","381916","2016","JOB8_7","no"
"25","434735","2019","JOB1_8","no"
"25","133121","2013","JOB4_7","no"
"25","327334","2020","JOB4_7","no"
"25","328943","2022","JOB1_8","no"
"25","112572","2020","JOB6_5","no"
"25","275347","2012","JOB2_6","no"
"25","342459","2022","JOB3_8","no"
"26","389960","2017","JOB1_9","no"
"26","280406","2013","JOB6_6","no"
