"PersonID","Earnings","EarningsYear","JobID","StillWorking"
"1","382627","2016","JOB5","no"
"1","356188","2015","JOB1","no"
"1","411771","2016","JOB1","no"
"1","116934","2010","JOB4","no"
"2","363920","2013","JOB2","no"
"2","379856","2021","JOB6","no"
"2","441652","2012","JOB8","no"
"2","231602","2018","JOB6","no"
"3","153628","2017","JOB2_1","no"
"4","255801","2016","JOB6_1","no"
"4","141123","2016","JOB2_2","no"
"4","43718","2010","JOB3","no"
"4","352904","2014","JOB6_1","no"
"5","375436","2021","JOB2_2","no"
"5","123590","2013","JOB8_1","no"
"5","441249","2015","JOB3","no"
"5","46049","2016","JOB4_1","no"
"6","406105","2022","JOB4_2","yes"
"6","366078","2017","JOB8_2","no"
"7","260892","2020","JOB6_2","no"
"8","85940","2021","JOB4_3","no"
"8","94287","2020","JOB8_3","no"
"9","399144","2010","JOB6_3","no"
"10","267289","2018","JOB1_1","no"
"10","99487","2020","JOB2_1","no"
"10","221177","2012","JOB5_1","no"
"10","235902","2018","JOB4_4","no"
"11","69122","2022","JOB1_2","no"
"12","373752","2010","JOB4_5","yes"
"13","184502","2019","JOB4_6","no"
"14","183022","2011","JOB2","no"
"14","445419","2014","JOB8","no"
"14","151449","2020","JOB2","no"
"14","96324","2014","JOB3_1","no"
"14","427230","2014","JOB6","no"
"15","303539","2022","JOB5_2","no"
"15","388607","2021","JOB2_3","no"
"15","305770","2012","JOB1_2","no"
"16","430900","2014","JOB2_4","no"
"16","148583","2010","JOB6_4","no"
"16","261614","2013","JOB8_3","no"
"17","221203","2021","JOB8_3","no"
"17","221568","2018","JOB3_2","no"
"17","142788","2017","JOB6_4","no"
"17","430900","2013","JOB8_3","no"
"18","258006","2019","JOB7","no"
"18","69884","2022","JOB1_3","no"
"18","360362","2020","JOB8_4","no"
"18","142735","2022","JOB2_5","no"
"18","220472","2011","JOB8_4","no"
"19","118989","2020","JOB3_3","no"
"19","275731","2022","JOB5_3","no"
"20","363920","2012","JOB4_1","no"
"20","352465","2019","JOB2_2","no"
"20","74787","2022","JOB1_4","no"
"21","235712","2013","JOB6_5","no"
"22","404239","2019","JOB8_1","no"
"23","161723","2021","JOB7_1","no"
"23","364450","2017","JOB1_5","no"
"23","130440","2018","JOB5_4","no"
"24","269261","2014","JOB2_6","yes"
"24","56397","2010","JOB4_7","no"
"24","53896","2018","JOB5_5","no"
"24","91862","2021","JOB3_4","no"
"25","321016","2020","JOB4_4","yes"
"25","99159","2021","JOB2_1","no"
"25","140396","2012","JOB5_1","no"
"25","445749","2014","JOB3_5","no"
"26","247391","2011","JOB6_6","no"
"27","430600","2014","JOB3_6","no"
"27","251170","2013","JOB1_3","no"
"27","238462","2019","JOB1_3","no"
"28","98112","2018","JOB4_8","yes"
"28","62028","2017","JOB3_7","no"
"28","186456","2016","JOB7_2","no"
"28","352904","2013","JOB1_6","no"
"28","240928","2010","JOB3_7","no"
"29","67667","2020","JOB5_1","no"
"29","96203","2019","JOB7_3","no"
"29","338663","2020","JOB3_5","no"
"29","58749","2013","JOB2_1","no"
"30","135855","2011","JOB1","no"
"31","47903","2022","JOB1_7","yes"
"31","62125","2016","JOB6_7","no"
"32","329294","2021","JOB3_8","no"
"32","161447","2019","JOB3_8","no"
"32","85940","2021","JOB2_7","no"
"32","98112","2010","JOB2_7","no"
"32","441249","2022","JOB1_8","no"
"33","205446","2011","JOB5","yes"
"33","430967","2021","JOB5","no"
"33","183022","2010","JOB7_4","no"
"34","117030","2020","JOB4","no"
"34","181739","2012","JOB4","no"
"34","341482","2021","JOB3_9","no"
"34","427230","2019","JOB4","no"
"34","114375","2015","JOB3_9","no"
"35","409739","2010","JOB2_6","no"
"35","336477","2019","JOB8_5","no"
"35","264261","2018","JOB4_7","no"
"36","210033","2016","JOB3_4","no"
"36","384826","2013","JOB4_7","no"
"36","249360","2022","JOB1_9","no"
"36","182593","2011","JOB5_5","no"
"36","311687","2015","JOB8_5","no"
"37","89615","2020","JOB1_7","no"
"37","251170","2018","JOB3_10","no"
"37","295875","2020","JOB4_9","no"
"37","58749","2012","JOB5_6","no"
"38","114713","2019","JOB2","no"
"38","390205","2013","JOB4_10","no"
"38","326892","2014","JOB4_10","no"
"39","182593","2022","JOB1_10","yes"
"39","52664","2014","JOB1_10","no"
"39","54408","2016","JOB5_7","no"
"40","156557","2021","JOB8_2","no"
"40","221568","2022","JOB5_2","no"
"41","380349","2019","JOB3_11","yes"
"41","193028","2012","JOB4_11","no"
"42","179896","2012","JOB6","no"
